Id,Aspect,Elevation,Hillshade_3pm,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Slope,Vertical_Distance_To_Hydrology,Cover_Type,Wilderness,Soil
4317,4,3202,149,204,216,3349,60,3550,12,11,7,Wilderness_Area1,Soil_Type23
3372,103,2315,6,252,166,365,297,895,37,204,4,Wilderness_Area4,Soil_Type3
14340,136,3420,115,242,233,3301,342,3743,15,182,7,Wilderness_Area3,Soil_Type39
1584,278,3275,184,197,242,313,60,5461,8,10,2,Wilderness_Area1,Soil_Type38
7034,156,2656,133,235,241,700,0,1188,14,0,5,Wilderness_Area3,Soil_Type2
13909,88,2898,71,246,199,830,360,1243,22,226,5,Wilderness_Area3,Soil_Type32
9892,38,2851,131,220,217,1298,108,595,10,-6,2,Wilderness_Area3,Soil_Type32
9640,338,3091,162,209,233,765,437,541,5,48,1,Wilderness_Area2,Soil_Type22
9067,151,3383,106,242,232,3087,256,1781,23,10,7,Wilderness_Area1,Soil_Type40
14059,270,3131,161,215,239,1099,488,1187,1,67,1,Wilderness_Area3,Soil_Type23
4830,122,2272,45,254,197,1530,153,765,31,75,4,Wilderness_Area4,Soil_Type3
2731,58,2647,127,227,221,612,30,1513,9,5,1,Wilderness_Area3,Soil_Type33
10113,340,3331,162,208,232,1061,60,2101,6,12,7,Wilderness_Area3,Soil_Type39
5056,70,2236,123,231,221,895,0,1533,10,0,4,Wilderness_Area4,Soil_Type17
11194,201,2523,174,195,251,847,234,1436,28,114,3,Wilderness_Area3,Soil_Type4
6428,82,2697,132,230,228,977,108,210,7,10,5,Wilderness_Area3,Soil_Type17
11929,82,3305,107,238,216,1618,390,3730,13,71,7,Wilderness_Area1,Soil_Type40
2713,294,2728,184,194,238,726,0,1889,9,0,5,Wilderness_Area3,Soil_Type31
769,68,3021,130,228,225,2493,201,4134,8,26,1,Wilderness_Area1,Soil_Type29
9973,290,2966,234,108,213,1181,306,1299,34,140,1,Wilderness_Area3,Soil_Type33
1863,115,2864,83,250,215,1236,295,566,21,93,5,Wilderness_Area1,Soil_Type30
9495,25,3512,135,214,215,3373,636,4332,12,164,7,Wilderness_Area3,Soil_Type40
7863,331,2553,170,197,228,1663,67,1605,10,6,5,Wilderness_Area3,Soil_Type2
13892,79,3224,58,243,186,1377,175,1426,25,58,7,Wilderness_Area1,Soil_Type30
2453,137,2038,104,246,229,636,30,591,19,1,4,Wilderness_Area4,Soil_Type1
11464,39,2649,125,220,212,743,384,1282,12,-7,2,Wilderness_Area1,Soil_Type29
2302,80,2879,69,243,194,324,309,1006,22,52,2,Wilderness_Area1,Soil_Type30
4120,191,2253,161,220,246,499,0,424,7,0,4,Wilderness_Area4,Soil_Type10
14799,357,3481,153,194,211,1683,509,1266,15,136,7,Wilderness_Area2,Soil_Type40
14627,29,3241,111,209,191,579,201,1664,20,36,7,Wilderness_Area3,Soil_Type39
5801,326,2378,187,157,207,1024,360,920,23,148,6,Wilderness_Area4,Soil_Type10
9979,55,3372,120,227,215,912,175,552,11,27,2,Wilderness_Area2,Soil_Type40
7540,57,2830,97,229,200,787,285,1243,18,158,5,Wilderness_Area3,Soil_Type13
3733,129,2228,86,250,220,644,295,1214,23,102,4,Wilderness_Area4,Soil_Type3
1765,99,2850,53,252,193,1806,443,451,26,189,5,Wilderness_Area1,Soil_Type30
7789,349,2549,159,211,232,1593,30,1597,5,4,6,Wilderness_Area3,Soil_Type17
9527,102,3304,120,237,227,2563,60,3492,10,6,7,Wilderness_Area3,Soil_Type23
4822,12,2418,132,197,197,1082,488,997,19,230,3,Wilderness_Area4,Soil_Type6
14112,172,3338,156,220,239,1377,603,924,2,43,7,Wilderness_Area3,Soil_Type32
10889,201,2557,173,205,253,524,0,2068,21,0,6,Wilderness_Area3,Soil_Type4
13952,172,3425,147,228,246,1112,990,3354,13,76,7,Wilderness_Area3,Soil_Type36
4650,118,2236,62,254,206,1338,108,955,26,43,4,Wilderness_Area4,Soil_Type3
1580,87,2763,50,247,186,2343,120,240,27,-60,5,Wilderness_Area1,Soil_Type30
10756,81,2930,85,242,204,1398,376,2730,19,125,2,Wilderness_Area3,Soil_Type10
7018,141,2641,125,238,236,666,162,999,13,1,5,Wilderness_Area3,Soil_Type2
7181,31,2813,126,216,209,1638,124,1712,14,13,5,Wilderness_Area3,Soil_Type31
7539,29,2841,111,208,190,731,342,1187,21,169,5,Wilderness_Area3,Soil_Type13
2062,323,2787,192,146,203,842,450,1140,26,228,6,Wilderness_Area3,Soil_Type33
4701,133,2338,131,235,236,402,30,1463,9,0,4,Wilderness_Area4,Soil_Type6
1199,57,2722,125,227,219,2089,162,182,10,52,5,Wilderness_Area1,Soil_Type29
11773,270,3215,179,203,242,2639,564,5968,7,67,1,Wilderness_Area1,Soil_Type22
3939,107,2149,90,247,216,1184,30,1276,18,4,4,Wilderness_Area4,Soil_Type1
23,114,2768,71,252,209,5972,192,3339,23,82,5,Wilderness_Area1,Soil_Type30
11600,91,3043,119,236,224,721,382,5423,10,83,2,Wilderness_Area1,Soil_Type29
13535,29,2973,142,218,224,2710,30,2007,7,0,1,Wilderness_Area3,Soil_Type23
7099,94,2792,103,241,218,1747,30,1503,14,8,5,Wilderness_Area3,Soil_Type17
5900,72,2431,80,238,196,1358,210,755,20,73,6,Wilderness_Area4,Soil_Type6
114,88,2751,137,228,231,6088,400,2322,5,30,2,Wilderness_Area1,Soil_Type12
10826,189,2534,159,217,251,1426,30,1224,19,0,3,Wilderness_Area3,Soil_Type3
1548,71,2786,33,236,162,2135,120,295,32,31,5,Wilderness_Area1,Soil_Type30
9589,324,3012,178,188,226,324,210,324,13,22,1,Wilderness_Area2,Soil_Type22
15056,22,2460,139,213,217,365,42,1936,11,1,3,Wilderness_Area3,Soil_Type10
14065,47,2889,86,221,184,618,335,1897,23,164,5,Wilderness_Area3,Soil_Type33
6390,53,2447,82,226,185,666,95,977,23,57,6,Wilderness_Area4,Soil_Type10
3246,280,2378,209,169,239,691,242,1074,18,84,4,Wilderness_Area4,Soil_Type6
2744,103,2078,39,253,187,162,42,891,30,16,4,Wilderness_Area4,Soil_Type1
10383,6,3572,153,212,227,1452,277,1718,6,79,7,Wilderness_Area2,Soil_Type40
13608,52,2826,116,226,211,1381,339,1090,13,38,2,Wilderness_Area3,Soil_Type11
12687,132,2324,117,242,232,124,85,1080,14,17,3,Wilderness_Area4,Soil_Type6
5679,346,2250,162,203,227,742,0,1159,9,0,4,Wilderness_Area4,Soil_Type10
5582,3,2434,142,190,199,636,306,700,20,91,6,Wilderness_Area4,Soil_Type10
660,27,2796,153,218,234,2546,240,2071,2,20,5,Wilderness_Area1,Soil_Type29
4975,82,2201,126,232,225,1507,30,787,8,5,4,Wilderness_Area4,Soil_Type3
7340,174,3216,156,220,240,2190,769,1165,2,32,2,Wilderness_Area3,Soil_Type32
6729,81,2740,121,233,223,379,488,601,10,-15,3,Wilderness_Area3,Soil_Type10
893,280,2917,190,191,241,1667,108,5037,11,4,5,Wilderness_Area1,Soil_Type23
9339,351,2980,159,210,230,834,0,270,6,0,1,Wilderness_Area1,Soil_Type23
4004,140,2268,92,247,225,858,201,1445,24,110,4,Wilderness_Area4,Soil_Type3
12894,103,2187,108,242,222,1273,0,1019,13,0,4,Wilderness_Area4,Soil_Type3
11385,294,2896,216,147,227,4744,180,5114,24,82,1,Wilderness_Area1,Soil_Type24
6981,36,3384,106,215,193,2609,162,3558,20,25,7,Wilderness_Area1,Soil_Type37
3254,123,2330,0,249,173,361,361,828,41,230,4,Wilderness_Area4,Soil_Type3
